source_dataset,combined_text,label,sender_domain_length,sender_domain_has_digits,sender_domain_has_hyphen,sender_subdomain_count,from_reply_mismatch,from_return_mismatch,from_message_id_mismatch,lookalike_domain_score,spf_pass,spf_fail,spf_missing,dkim_pass,dkim_fail,dkim_missing,dmarc_pass,dmarc_fail,dmarc_missing,url_count,https_url_count,http_url_count,ip_address_url_count,shortened_url_count,punycode_url_count,suspicious_keyword_count,visible_destination_mismatch_count,maximum_url_length,maximum_subdomain_count,lookalike_url_domain_count,redirect_like_url_count,promotional_term_count,prize_term_count,urgency_term_count,credential_request_count,payment_request_count,external_image_count,tracking_pixel_count,suspicious_button_count,embedded_form_count,password_input_count,iframe_count,script_count,hidden_element_count,advertisement_section_count,external_domain_count
bundled_local,Congratulations! You've Won a Prize Congratulations! You've won $5000. Claim your prize: bit.ly/xalsml,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
bundled_local,Your Package Delivery Failed Click here immediately to verify your account before it gets suspended: bit.ly/ec26oa,1,20,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,"Meeting Tomorrow at 2PM Hi, just wanted to follow up on our discussion. Looking forward to the meeting tomorrow.",0,9,0,0,0,1,0,0,0.429,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Urgent: Verify Your Account Congratulations! You've won $5000. Claim your prize: bit.ly/8xxl6g,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
bundled_local,Project Update - Q3 Results Thank you for attending our webinar. Here's the recording link.,0,11,0,0,0,1,0,0,0.375,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Team Lunch This Friday Your subscription has been renewed. Thank you for your continued support.,0,11,0,0,0,1,0,0,0.4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,"Password Changed Successfully Your password has been successfully changed. If this wasn't you, contact support.",0,11,0,0,0,1,0,0,0.375,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Welcome to Our Newsletter Your subscription has been renewed. Thank you for your continued support.,0,11,0,0,0,1,0,0,0.375,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,New Feature Release Notes Attached is the updated project timeline. Please review and provide feedback.,0,9,0,0,0,1,0,0,0.364,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Congratulations! You've Won a Prize Click here immediately to verify your account before it gets suspended: bit.ly/cj5exm,1,17,0,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
bundled_local,Click Here to Confirm Your Password We noticed unusual activity. Please confirm your password: bit.ly/dnote4,1,17,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Meeting Tomorrow at 2PM Thank you for attending our webinar. Here's the recording link.,0,9,0,0,0,1,0,0,0.364,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Click Here to Confirm Your Password Your Microsoft account needs immediate attention: bit.ly/7p4udm,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Your Account Has Been Compromised Amazon detected unauthorized access. Verify your account: bit.ly/3gkzop,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Bank Security Alert We noticed unusual activity. Please confirm your password: bit.ly/urf0p6,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bundled_local,"Your Reservation Confirmation Your password has been successfully changed. If this wasn't you, contact support.",0,7,0,0,0,1,0,0,0.75,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Confirm Your Identity Now Your Netflix subscription needs updating: bit.ly/a2t7xu,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Click Here to Confirm Your Password Click here immediately to verify your account before it gets suspended: bit.ly/ad3qzy,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Click Here to Confirm Your Password Congratulations! You've won $5000. Claim your prize: bit.ly/b5b8cz,1,20,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
bundled_local,Password Changed Successfully Thank you for attending our webinar. Here's the recording link.,0,7,0,0,0,1,0,0,0.75,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Urgent: Verify Your Account Your Microsoft account needs immediate attention: bit.ly/09a2zl,1,19,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Urgent: Verify Your Account Your Microsoft account needs immediate attention: bit.ly/xc8rgh,1,17,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Action Required: Unusual Activity Detected Confirm receipt of package: bit.ly/rkvsgf,1,17,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Your Package Delivery Failed Your Netflix subscription needs updating: bit.ly/nse3di,1,17,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,"Meeting Tomorrow at 2PM Your password has been successfully changed. If this wasn't you, contact support.",0,11,0,0,0,1,0,0,0.462,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Your Reservation Confirmation The team meeting has been rescheduled to Friday at 3 PM. See you then!,0,7,0,0,0,1,0,0,0.75,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Refund Pending - Claim Now IRS tax refund ready for pickup. Claim here: bit.ly/c7fhzy,1,17,0,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bundled_local,Password Changed Successfully The team meeting has been rescheduled to Friday at 3 PM. See you then!,0,9,0,0,0,1,0,0,0.364,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Your Order Confirmation Attached is the updated project timeline. Please review and provide feedback.,0,7,0,0,0,1,0,0,0.75,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Your Package Delivery Failed Amazon detected unauthorized access. Verify your account: bit.ly/myueok,1,19,1,1,0,1,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Confirm Your Identity Now Your Microsoft account needs immediate attention: bit.ly/vlv69i,1,23,0,1,0,1,0,0,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bundled_local,Meeting Tomorrow at 2PM The team meeting has been rescheduled to Friday at 3 PM. See you then!,0,9,0,0,0,1,0,0,0.429,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
